Score,Name of the Person,Quote,Video Title,Link to Video,Timestamp
4,Paul Buckner,I hit that contingency amount then it's a you have to go back in front of the board and ask for more money and has,Design build allowed Director of Construction to avoid asking for more funding,https://vimeo.com/670008583#t=12s,[00:12]
5,Paul Buckner,managing projects for school district that is the last thing you want to do is have to go back and ask for more on a,Design build allowed Director of Construction to avoid asking for more funding,https://vimeo.com/670008583#t=21s,[00:21]
4,Paul Buckner,project so that's where I thought the benefit of a design build on that was was very positive for us and going that route,Design build allowed Director of Construction to avoid asking for more funding,https://vimeo.com/670008583#t=30s,[00:30]
4,Paul Buckner,so utilizing design build for this project made the most sense for us versus doing a competitive still proposal or going construction manager at risk,"Design build, flexibility.mp4",https://vimeo.com/670008066#t=0s,[00:00]
4,Paul Buckner,for design-build gave us the flexibility during the project to to design it and make changes easier as things came up whether it was a,"Design build, flexibility.mp4",https://vimeo.com/670008066#t=12s,[00:12]
5,Paul Buckner,different Connection in a lighting and what was originally thought of or one Jim has a different set of another one and having to dip,"Design build, flexibility.mp4",https://vimeo.com/670008066#t=23s,[00:23]
4,Paul Buckner,into contingency and do changes in projects like you would with a competitive silk proposal once it's been out it's been out but the design,"Design build, flexibility.mp4",https://vimeo.com/670008066#t=34s,[00:34]
4,Paul Buckner,build process gave us that flexibility to to design it as well as make alterations during it without having to go through all of the,"Design build, flexibility.mp4",https://vimeo.com/670008066#t=46s,[00:46]
4,Paul Buckner,the paperwork that's involved and everything with with changes and with contingency funds and and everything that comes along with the other procurement methods whether,"Design build, flexibility.mp4",https://vimeo.com/670008066#t=57s,[00:57]
4,Paul Buckner,its construction manager at risk or competitive silk proposals,"Design build, flexibility.mp4",https://vimeo.com/670008066#t=71s,[01:11]
4,Paul Buckner,an instance an example of of how the design build kind of benefited us was one of our gymnasiums in our one of our high,"Design build, gym light example.mp4",https://vimeo.com/670008100#t=0s,[00:00]
6,Paul Buckner,schools changing the gym Lighting in there within a week 2 weeks a month we had multiple different lights go out which is kind of,"Design build, gym light example.mp4",https://vimeo.com/670008100#t=9s,[00:09]
6,Paul Buckner,unusual with LED lighting for those to go out so quickly and what it was found through the subcontractor was how ours were wired in,"Design build, gym light example.mp4",https://vimeo.com/670008100#t=20s,[00:20]
6,Paul Buckner,there they're each plugged in so that the construction guys with E3 with Eric and Jeff and and through the subcontractor they were able to,"Design build, gym light example.mp4",https://vimeo.com/670008100#t=30s,[00:30]
4,Paul Buckner,come up with a plan that was not originally in the scope but to really change out all of those plugs in I am so,"Design build, gym light example.mp4",https://vimeo.com/670008100#t=41s,[00:41]
4,Paul Buckner,that we didn't have continue having this this problem of the various lights going out where it one week we may have one come and,"Design build, gym light example.mp4",https://vimeo.com/670008100#t=50s,[00:50]
4,Paul Buckner,fix it and then two weeks later have another one so after about the third one it was just decided to just go in and,"Design build, gym light example.mp4",https://vimeo.com/670008100#t=61s,[01:01]
4,Paul Buckner,just let's just basically almost rewire every one of these pictures so that that problem gets eliminated,"Design build, gym light example.mp4",https://vimeo.com/670008100#t=70s,[01:10]
8,Paul Buckner,once we were able to figure out the ins and outs of the design build it was a pretty smooth and easy process that we,"Design build, smooth process",https://vimeo.com/670008127#t=0s,[00:00]
4,Paul Buckner,will look at again for future projects,"Design build, smooth process",https://vimeo.com/670008127#t=13s,[00:13]
5,Andrew Peters,so one of the things when we were looking at each of the different firms and try to make what was the best decision for,Designer and installer understand each other,https://vimeo.com/671226549#t=0s,[00:00]
4,Andrew Peters,a Caldwell's we've had some problems with some other issues and other buildings and we wanted to avoid those and one of those things was,Designer and installer understand each other,https://vimeo.com/671226549#t=8s,[00:08]
5,Andrew Peters,we just need to make sure that whoever designed the system and the person installed the system understood each other and understood us so very,Designer and installer understand each other,https://vimeo.com/671226549#t=17s,[00:17]
2,Andrew Peters,early on E3 brought in their engineer met with us as this questions walked our facilities and we felt really good knowing the engineering new,Designer and installer understand each other,https://vimeo.com/671226549#t=27s,[00:27]
6,Andrew Peters,using him and his design obviously he's worked out great so we're really excited about that,Designer and installer understand each other,https://vimeo.com/671226549#t=36s,[00:36]
4,E3 Lead Incentive Program Speaker,hey man I wanted to thank you so much for hooking me up with Robert at the Pearl he got me with Michelle and it,E3 Lead Incentive Program,https://vimeo.com/1180575753#t=0s,[00:00]
4,E3 Lead Incentive Program Speaker,looks like it's going to end up being a really good project oh that's awesome Robert and I are good old friend so I know,E3 Lead Incentive Program,https://vimeo.com/1180575753#t=9s,[00:09]
4,E3 Lead Incentive Program Speaker,they needed a bunch of help I'm glad we're getting something done out there so what's next I mean nothing we've got it looks like,E3 Lead Incentive Program,https://vimeo.com/1180575753#t=20s,[00:20]
4,E3 Lead Incentive Program Speaker,"it's going to be about a 3 million dollar project so that's about $5,500 in commission for you at the end of the project oh",E3 Lead Incentive Program,https://vimeo.com/1180575753#t=31s,[00:31]
4,E3 Lead Incentive Program Speaker,that's sweet all right well I'll be at the next meeting out there for sure no no you don't need to be in another meeting,E3 Lead Incentive Program,https://vimeo.com/1180575753#t=41s,[00:41]
4,E3 Lead Incentive Program Speaker,I've got it no meeting nothing so well how about this then no meeting I've got extra tickets to the musical Cats coming up will,E3 Lead Incentive Program,https://vimeo.com/1180575753#t=52s,[00:52]
6,E3 Lead Incentive Program Speaker,go we'll talk at intermission business it'll be great no no you're right I don't know so maybe maybe how about this we take them,E3 Lead Incentive Program,https://vimeo.com/1180575753#t=63s,[01:03]
6,E3 Lead Incentive Program Speaker,out on the town we go clubbing dancing I've been working on my moves it'll be a great time look at this like hang on,E3 Lead Incentive Program,https://vimeo.com/1180575753#t=74s,[01:14]
4,E3 Lead Incentive Program Speaker,hang on I'll be right back absolutely no no I got it all right come on I'm ready to go where did you get that,E3 Lead Incentive Program,https://vimeo.com/1180575753#t=84s,[01:24]
8,E3 Lead Incentive Program Speaker,it doesn't matter if we were leaving now we can still make happy hour come on I'll be great man,E3 Lead Incentive Program,https://vimeo.com/1180575753#t=93s,[01:33]
8,Tim Evans,E3 is a design build engineering firm with specialized in LED lighting retrofits we can be a single point of contact for the customer so,E3 Lighting Video,https://vimeo.com/228390512#t=0s,[00:00]
4,Tim Evans,we have the engineers who can design we have project managers that will install and we have performance managers who can guarantee and verify that,E3 Lighting Video,https://vimeo.com/228390512#t=10s,[00:10]
9,Tim Evans,the savings are being met we knew that we had the potential to save some money through the lighting retrofit and provide a better environment,E3 Lighting Video,https://vimeo.com/228390512#t=21s,[00:21]
5,James Hartman,for our faculty and for our students instead of having a lump sum of money sitting in a bank account earning less than 1% a,E3 Lighting Video,https://vimeo.com/228390512#t=31s,[00:31]
5,Adam Quinn,year they can look at these types of projects and the LED technology as more of a way 10 or 15 or maybe even 20%,E3 Lighting Video,https://vimeo.com/228390512#t=41s,[00:41]
6,Adam Quinn,on their money hopefully on the annual basis going to be able to pay for a experienced teacher with the savings that we'll see in,E3 Lighting Video,https://vimeo.com/228390512#t=49s,[00:49]
4,Hawkins Iso,a lot being brand new troll allows us the ability to go Source Products from multiple manufacturers and present those in a way that's going,E3 Lighting Video,https://vimeo.com/228390512#t=59s,[00:59]
5,Were Haddens,to produce the best outcome for for the facility they were looking for something that actually fit fit our needs to sell any one particular,E3 Lighting Video,https://vimeo.com/228390512#t=69s,[01:09]
5,Cooke Coul,product it was how can we improve the other day that we had a middle school basketball game that was the first time I'd been,E3 Lighting Video,https://vimeo.com/228390512#t=80s,[01:20]
4,Mike Craft,in there to be able to see that and I spent the majority of my years in that particular Jim it was like a whole,E3 Lighting Video,https://vimeo.com/228390512#t=89s,[01:29]
6,Mike Craft,new Jim it was an incredible experience and then secondly I think the relationship that they have with them being a public school we access,E3 Lighting Video,https://vimeo.com/228390512#t=98s,[01:38]
5,Mike Craft,tasbeeh services for a variety of things saving some money and making things better for kids and staff was a no-brainer for us,E3 Lighting Video,https://vimeo.com/228390512#t=108s,[01:48]
4,Klip Weaver,we wanted to build a company that people wanted to come to work for we wanted to build a company that our clients wanted to,E3 Promotional Full,https://vimeo.com/221011985#t=0s,[00:00]
6,Klip Weaver,call us back what we do is replace HVAC in mechanical systems we upgrade Lighting systems we retro commission and install control systems to make,E3 Promotional Full,https://vimeo.com/221011985#t=9s,[00:09]
5,Klip Weaver,buildings work right but that's what we do those are the tools that we used to accomplish the bigger picture and that being making classrooms,E3 Promotional Full,https://vimeo.com/221011985#t=20s,[00:20]
6,Klip Weaver,and Facilities more comfortable making them more efficient improving indoor air quality reducing the first maintenance we had a mindset that we wanted to bring,E3 Promotional Full,https://vimeo.com/221011985#t=31s,[00:31]
4,Don Meek,to the to the business and a culture that we wanted to bring to the business that is different than what you find in most,E3 Promotional Full,https://vimeo.com/221011985#t=43s,[00:43]
4,Don Meek,construction organizations typically you've got the get in get out mindset we really wanted to change that and we really wanted to do the right,E3 Promotional Full,https://vimeo.com/221011985#t=52s,[00:52]
4,Don Meek,things for the right reasons for the client we have four distinct areas of our company that we used to serve our clients this is,E3 Promotional Full,https://vimeo.com/221011985#t=63s,[01:03]
6,Don Meek,the mailman or sales engineering construction and project management in the Performance Management Group each of these areas is critical to the success of e3,E3 Promotional Full,https://vimeo.com/221011985#t=73s,[01:13]
6,Don Meek,having the engineering and Construction in house allows E3 to provide comprehensive programs in the design Bill world and on the project from start to,E3 Promotional Full,https://vimeo.com/221011985#t=85s,[01:25]
4,Rick Foreman,finish we felt better going into it as a group that that was better for us in those particular projects contractors the function of the,E3 Promotional Full,https://vimeo.com/221011985#t=97s,[01:37]
6,Rick Foreman,project made it easy for me to put a complicated issue in the hands of people that I knew had the experience to see it,E3 Promotional Full,https://vimeo.com/221011985#t=107s,[01:47]
5,Rick Foreman,through I mean I had to put my Stevie Wonder glasses on the light I mean it made a difference in an impact teachers were,E3 Promotional Full,https://vimeo.com/221011985#t=116s,[01:56]
8,Rick Foreman,talking about it quite a bit I mean and it saved us quite a bit of money they've been able to demonstrate time after time,E3 Promotional Full,https://vimeo.com/221011985#t=125s,[02:05]
10,Stetson Roane,and energy savings an on-time delivery and satisfied Board of Trustees the energy project help us save some dollars and help us control the environment,E3 Promotional Full,https://vimeo.com/221011985#t=135s,[02:15]
5,Bob Atkins,and small amount of money but it also played a part in that 70000 increase do more comfortable looking at getting the new upgrade LED,E3 Promotional Full,https://vimeo.com/221011985#t=146s,[02:26]
5,Fernando Castillo,upgrade HVAC upgrade and turn around and instead of paying the bill now we're paying the the money to pay for the actual structure and,E3 Promotional Full,https://vimeo.com/221011985#t=156s,[02:36]
5,Fernando Castillo,to pay for the upgrade of the LED honestly that's a win-win when we approach a project we understand that we have a scope of,E3 Promotional Full,https://vimeo.com/221011985#t=167s,[02:47]
4,Fernando Castillo,work the customer typically won't remember you for that what they pay for what they will typically remember you for is the value-added services that,E3 Promotional Full,https://vimeo.com/221011985#t=176s,[02:56]
4,Fernando Castillo,you bring to the to the project will be getting ready to the project and we had an air conditioner go out early and there's,E3 Promotional Full,https://vimeo.com/221011985#t=188s,[03:08]
4,Fernando Castillo,one that we were going to replace in the summer time and so they come in and replace it and just put it into our,E3 Promotional Full,https://vimeo.com/221011985#t=197s,[03:17]
4,Fernando Castillo,into our project when they started it in June so that was play good for us there was some doors that that you know they,E3 Promotional Full,https://vimeo.com/221011985#t=206s,[03:26]
4,Fernando Castillo,were putting locks on and and basically said we needed to replace them we didn't have to do that but for my understanding that they,E3 Promotional Full,https://vimeo.com/221011985#t=215s,[03:35]
4,Fernando Castillo,replace the doors it wasn't an extra charge on our part they just did it because it needed to be done I mean they didn't,E3 Promotional Full,https://vimeo.com/221011985#t=225s,[03:45]
4,Velma Rangel,scream the dollars which you'll never hear us say is it's not my problem you won't ever hear a say it's not my problem we,E3 Promotional Full,https://vimeo.com/221011985#t=234s,[03:54]
1,Velma Rangel,will find a solution no matter whether we have questions or we've got any kind of issues they're always here to assist us 24/7 has,E3 Promotional Full,https://vimeo.com/221011985#t=243s,[04:03]
4,Velma Rangel,been around for years even as a principal you heard of the committee recognizes is the song is the superintendent my goal is to try,E3 Promotional Full,https://vimeo.com/221011985#t=253s,[04:13]
7,Velma Rangel,to improve student performance so I take the savings that I get from the energy and I try to put those savings into our kids,E3 Promotional Full,https://vimeo.com/221011985#t=263s,[04:23]
6,Velma Rangel,or any other Avenue definitely goes back to our students mostly in resources that are needed for the teachers to help with instructions are we,E3 Promotional Full,https://vimeo.com/221011985#t=273s,[04:33]
2,Velma Rangel,done everything from provide MacBooks to our high school students to mini iPads in the hands of our middle school students my question was always,E3 Promotional Full,https://vimeo.com/221011985#t=284s,[04:44]
6,Rudy Rodriguez,are we going to disrupt any classes we never disrupted any classes at night on the weekends and they were always on time I never,E3 Promotional Full,https://vimeo.com/221011985#t=295s,[04:55]
4,Rudy Rodriguez,had a problem with them and as far as I know we do it again I use them again cuz it is a good play,E3 Promotional Full,https://vimeo.com/221011985#t=305s,[05:05]
5,Rudy Rodriguez,we never had problems with all those things heating cooling all those little intangibles helped the whole organization in the student outcomes go in a,E3 Promotional Full,https://vimeo.com/221011985#t=312s,[05:12]
4,Rudy Rodriguez,better place nothing happens to something sold to do that you've got an engineer and you've got an engineer correctly once this engineered you have,E3 Promotional Full,https://vimeo.com/221011985#t=324s,[05:24]
5,Rudy Rodriguez,to install it correctly and then once it's installed it has to work properly to accomplish our goals and accomplish the goals of the client,E3 Promotional Full,https://vimeo.com/221011985#t=335s,[05:35]
