Full Name,Title,Portrait Link
Conceptual Planning,Construction Manager at Risk (CMAR),vimeo_downloads/portraits/Conceptual_Planning.png
Select Architect,Construction Manager at Risk (CMAR),vimeo_downloads/portraits/Select_Architect.png
Preliminary Design,Construction Manager at Risk (CMAR),vimeo_downloads/portraits/Preliminary_Design.png
Final Design,Construction Manager at Risk (CMAR),vimeo_downloads/portraits/Final_Design.png
Construction Input,Construction Manager at Risk (CMAR),vimeo_downloads/portraits/Construction_Input.png
Avg Cost Savings,Construction Manager at Risk (CMAR),vimeo_downloads/portraits/Avg_Cost_Savings.png
Spec Approach,Representative,vimeo_downloads/portraits/Spec_Approach.png
Design Builder,Representative,vimeo_downloads/portraits/Design_Builder.png
Traditional Methods,Engineering,vimeo_downloads/portraits/Traditional_Methods.png
Adam Anders,E3 Entegral Solutions,vimeo_downloads/portraits/Adam_Anders.png
Business Developmena,Representative,vimeo_downloads/portraits/Business_Developmena.png
San Antonio,Representative,vimeo_downloads/portraits/San_Antonio.png
Rebekah Hansen,"Account Executive, E3 Entegral Solutions",vimeo_downloads/portraits/Rebekah_Hansen.png
Steve Schliesing,"Director of Engineering, E3 Entegral Solutions",vimeo_downloads/portraits/Steve_Schliesing.png
Fossil Hunter,"Director of Engineering, Central Texas",vimeo_downloads/portraits/Fossil_Hunter.png
SmALL BUSINESS,Representative,vimeo_downloads/portraits/SmALL_BUSINESS.png
Mesole Market,Representative,vimeo_downloads/portraits/Mesole_Market.png
Midole Market,Representative,vimeo_downloads/portraits/Midole_Market.png
MaDOLE MARKET,Representative,vimeo_downloads/portraits/MaDOLE_MARKET.png
Ticole Market,Representative,vimeo_downloads/portraits/Ticole_Market.png
Mitoole Market,Representative,vimeo_downloads/portraits/Mitoole_Market.png
Sle Market,Representative,vimeo_downloads/portraits/Sle_Market.png
Ile Market,Representative,vimeo_downloads/portraits/Ile_Market.png
Meoole Market,Representative,vimeo_downloads/portraits/Meoole_Market.png
Micole And,Representative,vimeo_downloads/portraits/Micole_And.png
Todle Market,Representative,vimeo_downloads/portraits/Todle_Market.png
Bole Market,Representative,vimeo_downloads/portraits/Bole_Market.png
Medole Market,Representative,vimeo_downloads/portraits/Medole_Market.png
MaCOLE MARKET,Representative,vimeo_downloads/portraits/MaCOLE_MARKET.png
Miodle Market,Representative,vimeo_downloads/portraits/Miodle_Market.png
Edle Market,Representative,vimeo_downloads/portraits/Edle_Market.png
Migole And,Representative,vimeo_downloads/portraits/Migole_And.png
SmALL BUSENESS,Representative,vimeo_downloads/portraits/SmALL_BUSENESS.png
Ple Market,Representative,vimeo_downloads/portraits/Ple_Market.png
Nicole Market,Representative,vimeo_downloads/portraits/Nicole_Market.png
Coder And,Representative,vimeo_downloads/portraits/Coder_And.png
Mitrole Market,Representative,vimeo_downloads/portraits/Mitrole_Market.png
SMALL BUr,Representative,vimeo_downloads/portraits/SMALL_BUr.png
Lower Micole Market,Representative,vimeo_downloads/portraits/Lower_Micole_Market.png
Auer Micole Market,Representative,vimeo_downloads/portraits/Auer_Micole_Market.png
Ouver Micole Market,Representative,vimeo_downloads/portraits/Ouver_Micole_Market.png
Iscole Market,Representative,vimeo_downloads/portraits/Iscole_Market.png
Mepole Market,Representative,vimeo_downloads/portraits/Mepole_Market.png
Lower Mecole Market,Representative,vimeo_downloads/portraits/Lower_Mecole_Market.png
Micole Marxet,Representative,vimeo_downloads/portraits/Micole_Marxet.png
Miode Market,Representative,vimeo_downloads/portraits/Miode_Market.png
Ver Mecole Market,Representative,vimeo_downloads/portraits/Ver_Mecole_Market.png
Mtoole And,Representative,vimeo_downloads/portraits/Mtoole_And.png
SmALL BUSTI,Representative,vimeo_downloads/portraits/SmALL_BUSTI.png
Zecole Market,Representative,vimeo_downloads/portraits/Zecole_Market.png
Mioole And,Representative,vimeo_downloads/portraits/Mioole_And.png
Zicole Market,Representative,vimeo_downloads/portraits/Zicole_Market.png
Mzoole Market,Representative,vimeo_downloads/portraits/Mzoole_Market.png
Small Bus Dess,Representative,vimeo_downloads/portraits/Small_Bus_Dess.png
Small Bustness,Representative,vimeo_downloads/portraits/Small_Bustness.png
Der Migole Market,Representative,vimeo_downloads/portraits/Der_Migole_Market.png
Der Micole Market,Representative,vimeo_downloads/portraits/Der_Micole_Market.png
Lower Miole Market,Representative,vimeo_downloads/portraits/Lower_Miole_Market.png
Ower Micoli,Representative,vimeo_downloads/portraits/Ower_Micoli.png
Modtoole Market,Representative,vimeo_downloads/portraits/Modtoole_Market.png
Midole Mari,Representative,vimeo_downloads/portraits/Midole_Mari.png
Lower Ricole Market,Representative,vimeo_downloads/portraits/Lower_Ricole_Market.png
Moltoole Market,Representative,vimeo_downloads/portraits/Moltoole_Market.png
Lower Mioole Market,Representative,vimeo_downloads/portraits/Lower_Mioole_Market.png
Moole Market,Representative,vimeo_downloads/portraits/Moole_Market.png
Potoole Market,Representative,vimeo_downloads/portraits/Potoole_Market.png
Lower Mim,Representative,vimeo_downloads/portraits/Lower_Mim.png
Loder Micole Marke,Representative,vimeo_downloads/portraits/Loder_Micole_Marke.png
Motoole Market,Representative,vimeo_downloads/portraits/Motoole_Market.png
Lower Micole Parket,Representative,vimeo_downloads/portraits/Lower_Micole_Parket.png
Iddle Market,Representative,vimeo_downloads/portraits/Iddle_Market.png
Ill Business,Representative,vimeo_downloads/portraits/Ill_Business.png
Foole Marketi,Representative,vimeo_downloads/portraits/Foole_Marketi.png
Toble And,Representative,vimeo_downloads/portraits/Toble_And.png
Idle And,Representative,vimeo_downloads/portraits/Idle_And.png
Micole Marki,Representative,vimeo_downloads/portraits/Micole_Marki.png
Moroole Market,Representative,vimeo_downloads/portraits/Moroole_Market.png
Miodle And,Representative,vimeo_downloads/portraits/Miodle_And.png
Mroole Market,Representative,vimeo_downloads/portraits/Mroole_Market.png
Mitoole And,Representative,vimeo_downloads/portraits/Mitoole_And.png
Mfoole Market,Representative,vimeo_downloads/portraits/Mfoole_Market.png
Quer Micole,Representative,vimeo_downloads/portraits/Quer_Micole.png
Swer Micole,Representative,vimeo_downloads/portraits/Swer_Micole.png
Tall Business,Representative,vimeo_downloads/portraits/Tall_Business.png
Loole And,Representative,vimeo_downloads/portraits/Loole_And.png
Coole And,Representative,vimeo_downloads/portraits/Coole_And.png
Migoole Market,Representative,vimeo_downloads/portraits/Migoole_Market.png
Mccole Market,Representative,vimeo_downloads/portraits/Mccole_Market.png
Loole Market,Representative,vimeo_downloads/portraits/Loole_Market.png
Micole Mari,Representative,vimeo_downloads/portraits/Micole_Mari.png
Mioole Marketi,Representative,vimeo_downloads/portraits/Mioole_Marketi.png
Ssanesor Mung,Representative,vimeo_downloads/portraits/Ssanesor_Mung.png
SSENESCa MENS,Representative,vimeo_downloads/portraits/SSENESCa_MENS.png
SmAL BUSINESS,Representative,vimeo_downloads/portraits/SmAL_BUSINESS.png
Micole Merket,Representative,vimeo_downloads/portraits/Micole_Merket.png
Dole Marketi,Representative,vimeo_downloads/portraits/Dole_Marketi.png
Miroole Market,Representative,vimeo_downloads/portraits/Miroole_Market.png
Mioole Markst,Representative,vimeo_downloads/portraits/Mioole_Markst.png
Coole Markete,Representative,vimeo_downloads/portraits/Coole_Markete.png
Fle Market,Representative,vimeo_downloads/portraits/Fle_Market.png
Cle Market,Representative,vimeo_downloads/portraits/Cle_Market.png
Tole Market,Representative,vimeo_downloads/portraits/Tole_Market.png
Midole And,Representative,vimeo_downloads/portraits/Midole_And.png
Mioule Marketi,Representative,vimeo_downloads/portraits/Mioule_Marketi.png
Micole Markst,Representative,vimeo_downloads/portraits/Micole_Markst.png
Moscole Market,Representative,vimeo_downloads/portraits/Moscole_Market.png
Ssenesce Tiews,Representative,vimeo_downloads/portraits/Ssenesce_Tiews.png
Ssenesce Tiows,Representative,vimeo_downloads/portraits/Ssenesce_Tiows.png
Elyssha Enriquez,Representative,vimeo_downloads/portraits/Elyssha_Enriquez.png
Amelie Sanchez,Representative,vimeo_downloads/portraits/Amelie_Sanchez.png
Lucy Mae Mcdonald,Representative,vimeo_downloads/portraits/Lucy_Mae_Mcdonald.png
Jerry Pickett,Chief Financial Officer,vimeo_downloads/portraits/Jerry_Pickett.png
Dasta Type,Representative,vimeo_downloads/portraits/Dasta_Type.png
General Und Posted,Representative,vimeo_downloads/portraits/General_Und_Posted.png
Randy Leach,Director of Facilities & Maintenance,vimeo_downloads/portraits/Randy_Leach.png
Dr. James Largent,Granbury ISD Superintendent,vimeo_downloads/portraits/Dr__James_Largent.png
Johnny Perkins Field,Representative,vimeo_downloads/portraits/Johnny_Perkins_Field.png
Grant Available,Representative,vimeo_downloads/portraits/Grant_Available.png
Central Plant Upgrad,Representative,vimeo_downloads/portraits/Central_Plant_Upgrad.png
Marcus Crispin,"Director of Facilities, Highland Park ISD",vimeo_downloads/portraits/Marcus_Crispin.png
Supertift Contractor,Representative,vimeo_downloads/portraits/Supertift_Contractor.png
Raider Shop,Representative,vimeo_downloads/portraits/Raider_Shop.png
Ressing Room,Representative,vimeo_downloads/portraits/Ressing_Room.png
Today'S Topics,Representative,vimeo_downloads/portraits/Today_S_Topics.png
What's Your,Representative,vimeo_downloads/portraits/What_s_Your.png
Which One,Representative,vimeo_downloads/portraits/Which_One.png
Michael Cothran,Representative,vimeo_downloads/portraits/Michael_Cothran.png
Jarrett Morgan,"Director of Operations, Keene ISD",vimeo_downloads/portraits/Jarrett_Morgan.png
Effie Morris,Representative,vimeo_downloads/portraits/Effie_Morris.png
Lake Worth,Representative,vimeo_downloads/portraits/Lake_Worth.png
Los Angeles,Representative,vimeo_downloads/portraits/Los_Angeles.png
Los Angei,Representative,vimeo_downloads/portraits/Los_Angei.png
Lead Generation,Representative,vimeo_downloads/portraits/Lead_Generation.png
Judd Marshalll,"Superintendent,",vimeo_downloads/portraits/Judd_Marshalll.png
Mount Pleasant IST,"Superintendent,",vimeo_downloads/portraits/Mount_Pleasant_IST.png
Mike Lamb,"Superintendent, Little Elm ISD",vimeo_downloads/portraits/Mike_Lamb.png
Dr. Shannon Trejo,"Deputy Commissioner of Schools Programs, Texas Education Agency",vimeo_downloads/portraits/Dr__Shannon_Trejo.png
Dr. Theresa Williams,"Superintendent, Plano ISD",vimeo_downloads/portraits/Dr__Theresa_Williams.png
Benerre Ader,Representative,vimeo_downloads/portraits/Benerre_Ader.png
Dr. Al Darzins,VP Research & Development,vimeo_downloads/portraits/Dr__Al_Darzins.png
Len Bland,"CEO, Nano Gas Environmental",vimeo_downloads/portraits/Len_Bland.png
Port Neches-Groves,Representative,vimeo_downloads/portraits/Port_Neches_Groves.png
Dr. Mike Gonzales,"Superintendent, E3",vimeo_downloads/portraits/Dr__Mike_Gonzales.png
Jeff Bergeron,Director of Maintenance and Facilities,vimeo_downloads/portraits/Jeff_Bergeron.png
Josh Combs,"Senior Vice President, E3 Entegral Solutions",vimeo_downloads/portraits/Josh_Combs.png
Daniel Meyer,Representative,vimeo_downloads/portraits/Daniel_Meyer.png
Jeff Freeman,Representative,vimeo_downloads/portraits/Jeff_Freeman.png
Jared McCurley,Representative,vimeo_downloads/portraits/Jared_McCurley.png
Jelf Freeman,Representative,vimeo_downloads/portraits/Jelf_Freeman.png
Jeft Freeman,Representative,vimeo_downloads/portraits/Jeft_Freeman.png
Jeff Freernan,Representative,vimeo_downloads/portraits/Jeff_Freernan.png
Jeff Freeran,Representative,vimeo_downloads/portraits/Jeff_Freeran.png
Jeft Freeran,Representative,vimeo_downloads/portraits/Jeft_Freeran.png
Jefl Freeman,Representative,vimeo_downloads/portraits/Jefl_Freeman.png
Dansl Mever,Representative,vimeo_downloads/portraits/Dansl_Mever.png
Jared McCurlcy,Representative,vimeo_downloads/portraits/Jared_McCurlcy.png
Danwl Mever,Representative,vimeo_downloads/portraits/Danwl_Mever.png
Jeif Freernan,Representative,vimeo_downloads/portraits/Jeif_Freernan.png
Josh Cambs,Representative,vimeo_downloads/portraits/Josh_Cambs.png
Royal Falconsi,Representative,vimeo_downloads/portraits/Royal_Falconsi.png
Sal Cons,Representative,vimeo_downloads/portraits/Sal_Cons.png
Joshua Delgado,"Energy Management Coordinator, San Jacinto Community College",vimeo_downloads/portraits/Joshua_Delgado.png
Stephen Mayfield,"City Manager, Stockdale, TX",vimeo_downloads/portraits/Stephen_Mayfield.png
Heather Escalante,Chief Operating Officer,vimeo_downloads/portraits/Heather_Escalante.png
Nathan Goodlett,Caldwell HS Associate Principal/District Safety Coordinator,vimeo_downloads/portraits/Nathan_Goodlett.png
"Dr. Daniel Trevino, Jr.","Superintendent, Mercedes ISD",vimeo_downloads/portraits/Dr__Daniel_Trevino__Jr.png
